Nome;Squadra;Pg;Mv;Mf;Gf;Rc;R+;R-;Ass;Amm;Esp;Au
ACERBI;Lazio;22;6,05;6,41;3;0;0;0;0;0;1;0
AINA;Torino;15;5,87;5,73;0;0;0;0;0;4;0;0
ALEX SANDRO;Juventus;21;5,76;5,71;0;0;0;0;0;2;0;0
ALTARE;Cagliari;12;5,88;5,71;0;0;0;0;0;4;0;0
AMIAN;Spezia;25;5,66;5,52;0;0;0;0;1;5;2;0
AMIONE;Verona;0;0;0;0;0;0;0;0;0;0;0
AMPADU;Venezia;23;5,8;5,72;0;0;0;0;3;8;1;0
ANNAN;Bologna;1;6;6;0;0;0;0;0;0;0;0
ANSALDI;Torino;11;6,14;6,36;0;0;0;0;3;1;0;0
ARMINI;Lazio;0;0;0;0;0;0;0;0;0;0;0
AUGELLO;Sampdoria;28;5,79;5,89;1;0;0;0;0;0;0;0
AYA;Salernitana;2;5;4,75;0;0;0;0;0;1;0;0
AYHAN;Sassuolo;13;5,96;6,08;1;0;0;0;0;1;1;0
BALLARINI;Udinese;0;0;0;0;0;0;0;0;0;0;0
BALLO-TOURE';Milan;7;5,64;5,5;0;0;0;0;0;2;0;0
BANI;Genoa;12;6,04;6;0;0;0;0;0;1;0;0
BASTONI;Inter;26;6,25;6,37;1;0;0;0;2;4;0;0
BASTONI S.;Spezia;26;6,13;6,5;3;0;0;0;3;3;1;0
BELLANOVA;Cagliari;24;5,83;5,94;1;0;0;0;1;3;0;0
BENKOVIC;Udinese;0;0;0;0;0;0;0;0;0;0;0
BERESZYNSKI;Sampdoria;28;5,68;5,59;0;0;0;0;3;11;0;0
BINKS;Bologna;9;5,94;5,78;0;0;0;0;0;3;0;0
BIRAGHI;Fiorentina;29;5,93;6,12;3;2;1;1;1;3;1;1
BIRASCHI;Genoa;14;5,61;5,46;0;0;0;0;0;4;0;0
BOGDAN;Salernitana;6;5,25;5,25;0;0;0;0;0;0;0;0
BONIFAZI;Bologna;13;5,54;5,23;0;0;0;0;0;2;1;1
BONUCCI;Juventus;17;6,15;6,65;0;3;3;0;0;1;0;0
BREMER;Torino;28;6,43;6,68;3;0;0;0;1;6;0;0
BUONGIORNO;Torino;15;5,9;5,87;0;0;0;0;1;4;0;0
CACACE;Empoli;4;5,75;5,62;0;0;0;0;0;1;0;0
CACERES;Cagliari;13;5,73;5,85;1;0;0;0;1;3;1;0
CALABRESI;Bologna;0;0;0;0;0;0;0;0;0;0;0
CALABRIA;Milan;20;6,2;6,55;2;0;0;0;2;2;0;0
CALAFIORI;Genoa;4;5,62;5,62;0;0;0;0;1;3;0;0
CALDARA;Venezia;24;5,83;5,77;1;0;0;0;0;9;0;0
CAMBIASO;Genoa;24;5,94;6,12;1;0;0;0;4;3;1;0
CAPRADOSSI;Spezia;0;0;0;0;0;0;0;0;0;0;0
CARBONI;Cagliari;23;5,59;5,39;0;0;0;0;0;5;0;1
CASALE;Verona;27;5,91;5,83;0;0;0;0;1;7;0;0
CECCARONI;Venezia;27;5,78;5,91;2;0;0;0;1;5;1;0
CECCHERINI;Verona;27;5,87;5,69;0;0;0;0;0;8;1;0
CEPPITELLI;Cagliari;17;5,88;6,03;1;0;0;0;0;2;0;0
CETIN;Verona;1;6;6;0;0;0;0;0;0;0;0
CHABOT;Sampdoria;9;5,56;5,28;0;0;0;0;0;5;0;0
CHIELLINI;Juventus;14;6,29;6,21;0;0;0;0;0;2;0;0
CHIRICHES;Sassuolo;22;5,7;5,61;0;0;0;0;0;4;0;0
CITTADINI;Atalanta;0;0;0;0;0;0;0;0;0;0;0
COLLEY;Sampdoria;25;6;5,9;0;0;0;0;0;5;0;0
CONTI;Sampdoria;4;6;6,62;1;0;0;0;0;1;0;0
COPPOLA D.;Verona;2;6;6;0;0;0;0;0;0;0;0
CRISCITO;Genoa;15;6;6,97;0;5;5;0;1;3;0;0
CUADRADO;Juventus;28;6,32;6,7;4;0;0;0;2;7;0;0
CZYBORRA;Genoa;0;0;0;0;0;0;0;0;0;0;0
DALBERT;Cagliari;23;5,67;5,57;0;0;0;0;2;9;0;0
DALLE_MURA;Fiorentina;0;0;0;0;0;0;0;0;0;0;0
D'AMBROSIO;Inter;9;6,28;6,56;1;0;0;0;0;2;0;0
DANILO;Juventus;17;6,09;6,15;1;0;0;0;1;6;0;0
DARMIAN;Inter;19;6,11;6,24;1;0;0;0;1;3;0;0
DAWIDOWICZ;Verona;15;5,77;5,67;0;0;0;0;0;3;0;0
DE_LIGT;Juventus;26;6,19;6,37;2;0;0;0;0;1;1;0
DE_MAIO;Udinese;2;4;4;0;0;0;0;0;0;0;0
DE_SCIGLIO;Juventus;13;6,19;6,46;1;0;0;0;2;1;1;0
DE_SILVESTRI;Bologna;25;5,98;6,26;3;0;0;0;1;6;0;0
DE_VRIJ;Inter;21;5,76;5,6;0;0;0;0;0;3;0;1
DE_WINTER;Juventus;0;0;0;0;0;0;0;0;0;0;0
DELLI_CARRI;Salernitana;5;5,5;5,4;0;0;0;0;0;1;0;0
DEMIRAL;Atalanta;19;6,18;6,21;1;0;0;0;1;7;0;0
DENSWIL;Bologna;0;0;0;0;0;0;0;0;0;0;0
DEPAOLI;Verona;12;5,83;6;1;0;0;0;1;4;0;0
DI_LORENZO;Napoli;30;6,17;6,32;1;0;0;0;3;3;0;0
DIJKS;Bologna;7;5,64;5,5;0;0;0;0;0;2;0;0
DIMARCO;Inter;19;6,05;6,29;2;1;0;1;2;1;0;0
DJIDJI;Torino;20;5,92;5,78;0;0;0;0;0;4;1;0
DJIMSITI;Atalanta;22;5,86;5,73;0;0;0;0;1;5;0;1
DRAGUSIN;Salernitana;16;5,75;5,69;0;0;0;0;0;2;0;0
DUMFRIES;Inter;25;6,22;6,84;4;0;0;0;4;1;0;0
EBUEHI;Venezia;16;5,56;5,47;0;0;0;0;0;1;1;0
