Nome;Squadra;Pg;Mv;Mf;Amm;Esp
BIRAGHI;Fiorentina;36;5,94;6,1;3;1
SINGO;Torino;35;6,17;6,44;5;1
HICKEY;Bologna;35;5,84;6,2;7;0
FERRARI G.;Sassuolo;35;5,79;5,79;4;1
NIKOLAOU;Spezia;35;5,66;5,5;7;0
SKRINIAR;Inter;34;6,22;6,44;3;0
KARSDORP;Roma;34;6,07;6;7;1
RODRIGO BECAO;Udinese;34;6,06;6,12;10;0
MARIO RUI;Napoli;34;6,03;6,07;7;0
MOLINA N.;Udinese;34;6,03;6,57;5;1
CECCARONI;Venezia;34;5,78;5,85;7;1
BERESZYNSKI;Sampdoria;34;5,69;5,6;12;0
BREMER;Torino;33;6,39;6,59;7;0
RRAHMANI;Napoli;33;6,27;6,56;5;0
DI LORENZO;Napoli;33;6,2;6,36;3;0
UDOGIE;Udinese;33;5,94;6,3;4;0
CECCHERINI;Verona;33;5,88;5,8;9;1
CASALE;Verona;33;5,88;5,79;9;0
MILENKOVIC;Fiorentina;33;5,85;5,79;8;1
AUGELLO;Sampdoria;33;5,82;5,94;0;0
CUADRADO;Juventus;32;6,3;6,62;9;0
PALOMINO;Atalanta;32;6,12;6,08;9;0
MANCINI;Roma;32;5,88;5,62;14;1
STOJANOVIC;Empoli;32;5,83;5,8;8;1
MARUSIC;Lazio;32;5,64;5,64;4;1
HERNANDEZ T.;Milan;31;6,29;6,69;5;2
DUMFRIES;Inter;31;6,23;6,79;3;0
FARAONI;Verona;31;6,06;6,5;5;1
COLLEY;Sampdoria;31;5,97;5,85;5;1
RODRIGUEZ R.;Torino;31;5,9;5,89;3;0
MAZZOCCHI;Salernitana;31;5,85;5,84;5;0
IBANEZ;Roma;31;5,82;6;8;0
AMIAN;Spezia;31;5,71;5,66;7;2
TOMORI;Milan;30;6,28;6,22;4;0
BASTONI;Inter;30;6,22;6,32;4;0
DE LIGT;Juventus;30;6,2;6,48;1;1
ZAPPACOSTA;Atalanta;30;6,08;6,25;6;0
DE SILVESTRI;Bologna;30;5,93;6,18;7;0
THEATE;Bologna;30;5,92;6,05;6;0
BELLANOVA;Cagliari;30;5,82;5,9;3;0
GUNTER;Verona;30;5,8;5,57;10;0
BASTONI S.;Spezia;29;6,12;6,41;5;1
VOJVODA;Torino;29;6,02;6,07;3;0
ERLIC;Spezia;29;5,98;6,1;5;0
CALDARA;Venezia;29;5,84;5,79;9;0
GYOMBER;Salernitana;29;5,76;5,6;9;0
ACERBI;Lazio;28;5,98;6,36;1;1
LUIZ FELIPE;Lazio;28;5,88;5,68;9;1
DJIMSITI;Atalanta;28;5,86;5,84;6;0
AMPADU;Venezia;28;5,8;5,66;10;2
DALBERT;Cagliari;28;5,7;5,61;9;0
VASQUEZ;Genoa;27;5,87;5,85;7;0
SOUMAORO;Bologna;27;5,83;5,57;6;2
DE VRIJ;Inter;27;5,8;5,67;3;0
IGOR;Fiorentina;27;5,8;5,76;2;0
RANIERI L.;Salernitana;27;5,7;5,65;9;0
CHIRICHES;Sassuolo;27;5,69;5,61;4;0
HYSAJ;Lazio;27;5,63;5,69;3;0
CARBONI;Cagliari;27;5,63;5,44;6;0
KOULIBALY;Napoli;26;6,48;6,73;5;1
LAZZARI;Lazio;26;5,92;6,33;3;0
ALEX SANDRO;Juventus;26;5,77;5,67;3;0
SMALLING;Roma;25;6,18;6,46;0;0
CALABRIA;Milan;25;6,16;6,44;2;0
DEMIRAL;Atalanta;25;6,08;6,12;8;0
NUYTINCK;Udinese;25;5,98;6,1;2;0
DIMARCO;Inter;24;6,12;6,35;1;0
CAMBIASO;Genoa;24;5,94;6,12;3;1
KYRIAKOPOULOS;Sassuolo;24;5,9;5,96;5;1
DJIDJI;Torino;24;5,88;5,75;4;1
ODRIOZOLA;Fiorentina;24;5,85;5,94;4;1
HAPS;Venezia;24;5,83;5,88;6;0
MULDUR;Sassuolo;24;5,73;5,62;5;0
LYKOGIANNIS;Cagliari;24;5,71;5,79;2;0
RECA;Spezia;24;5,69;5,71;3;0
KALULU;Milan;23;6,33;6,46;4;0
DARMIAN;Inter;23;6,13;6,35;4;0
VINA;Roma;23;5,74;5,74;2;0
YOSHIDA;Sampdoria;23;5,7;5,98;1;0
BONUCCI;Juventus;22;6,2;6,86;1;0
PARISI;Empoli;22;5,91;5,84;5;0
FERRER;Spezia;22;5,89;5,95;3;0
ROGERIO;Sassuolo;22;5,82;5,77;5;0
MAEHLE;Atalanta;22;5,82;5,95;2;0
ZORTEA;Salernitana;22;5,8;5,98;3;0
DANILO;Juventus;21;6,14;6,24;6;0
KIWIOR;Spezia;21;5,81;5,67;6;0
PATRIC;Lazio;21;5,76;5,71;4;1
FERRARI A.;Sampdoria;21;5,74;5,81;3;0
ZAPPA;Cagliari;21;5,74;5,64;2;1
LUPERTO;Empoli;21;5,71;5,57;6;1
FLORENZI;Milan;20;6,12;6,4;2;0
LOVATO;Cagliari;20;5,98;5,85;5;0
CEPPITELLI;Cagliari;20;5,88;6;2;0
HATEBOER;Atalanta;20;5,78;5,72;2;0
VENUTI;Fiorentina;20;5,78;5,6;3;0
TOLOI;Atalanta;19;6;6,05;6;0
CRISCITO;Genoa;19;5,97;6,74;3;0
AINA;Torino;19;5,92;5,82;4;0
TOLJAN;Sassuolo;19;5,84;5,84;2;0
PEREZ N.;Udinese;19;5,74;5,63;6;0
MARCHIZZA;Empoli;19;5,63;5,47;4;0
MURRU;Sampdoria;19;5,53;5,58;5;0
CHIELLINI;Juventus;18;6,22;6,17;2;0
ALTARE;Cagliari;18;5,97;6,03;4;0
SOPPY;Udinese;18;5,92;5,81;4;0
ROMAGNOLI S.;Empoli;18;5,89;6,03;3;0
DEPAOLI;Verona;18;5,83;5,94;4;0
MARTINEZ QUARTA;Fiorentina;18;5,81;5,75;8;0
VITI;Empoli;18;5,78;5,58;1;1
DRAGUSIN;Salernitana;18;5,72;5,67;2;0
PELLEGRINI LU.;Juventus;17;6,09;5,97;6;0
ROMAGNOLI;Milan;17;6;6;4;1
BANI;Genoa;17;6;5,97;1;0
SAMIR;Udinese;17;5,94;5,79;5;0
ZIMA;Torino;17;5,94;5,85;3;0
BUONGIORNO;Torino;17;5,91;5,88;4;0
AYHAN;Sassuolo;17;5,91;5,97;2;1
SUTALO;Verona;17;5,85;5,85;0;0
EBUEHI;Venezia;17;5,59;5,5;1;1
ISMAJLI;Empoli;17;5,5;5,06;7;0
SVOBODA;Venezia;17;5,5;5,38;2;1
DE SCIGLIO;Juventus;16;6,06;6,25;2;1
PEZZELLA GIU.;Atalanta;16;5,97;6;3;0
BONIFAZI;Bologna;16;5,62;5,38;2;1
HRISTOV;Spezia;16;5,5;5,66;3;0
MARI';Udinese;15;6,27;6,57;1;1
D'AMBROSIO;Inter;15;6,23;6,47;2;0
SALA;Spezia;15;5,83;5,93;3;0
HEFTI;Genoa;15;5,83;5,8;1;0
DAWIDOWICZ;Verona;15;5,77;5,67;3;0
FAZIO;Salernitana;15;5,73;5,83;1;1
ANSALDI;Torino;14;6,14;6,32;1;0
JUAN JESUS;Napoli;14;6;6,04;1;0
KECHRIDA;Salernitana;14;5,86;5,93;0;0
MAGNANI;Sampdoria;14;5,79;5,61;3;1
MAKSIMOVIC;Genoa;14;5,75;5,68;2;0
OSTIGARD;Genoa;14;5,68;5,5;1;2
GAGLIOLO;Salernitana;14;5,61;5,61;2;0
BIRASCHI;Genoa;14;5,61;5,46;4;0
VANHEUSDEN;Genoa;14;5,57;5,32;3;0
SCALVINI;Atalanta;13;5,96;6,15;1;0
CACERES;Cagliari;13;5,73;5,85;3;1
TONELLI;Empoli;13;5,5;5,19;4;0
RADOVANOVIC;Salernitana;12;6;6,08;4;0
RUGGERI;Salernitana;12;5,88;5,83;1;0
KUMBULLA;Roma;12;5,75;5,54;6;0
