Nome;Squadra;Pg;Mv;Mf;Gs;Rp;Amm;Esp;Au
ADAMONIS;Lazio;0;0;0;0;0;0;0;0
ALIA;Lazio;0;0;0;0;0;0;0;0
ANDRENACCI;Genoa;0;0;0;0;0;0;0;0
ARESTI;Cagliari;0;0;0;0;0;0;0;0
AUDERO;Sampdoria;22;6,14;4,39;38;0;1;0;0
BARDI;Bologna;0;0;0;0;0;0;0;0
Belec;Salernitana;20;6,08;3,82;45;0;0;0;0
BERARDI A.;Verona;0;0;0;0;0;0;0;0
BERISHA;Torino;4;6,12;5,5;2;0;1;0;0
BERTINATO;Venezia;0;0;0;0;0;0;0;0
BOER;Roma;0;0;0;0;0;0;0;0
BRIGNOLI;Empoli;0;0;0;0;0;0;0;0
CONSIGLI;Sassuolo;30;6,28;4,75;48;1;2;0;0
CONTINI;Napoli;0;0;0;0;0;0;0;0
CORDAZ;Inter;0;0;0;0;0;0;0;0
CRAGNO;Cagliari;28;6,25;4,5;54;2;2;0;0
DRAGOWSKI;Fiorentina;7;6,14;5,29;8;1;0;1;0
FALCONE;Sampdoria;10;6,45;4,95;14;0;2;0;0
FIORILLO;Salernitana;1;6;1;5;0;0;0;0
FURLAN;Empoli;0;0;0;0;0;0;0;0
FUZATO;Roma;0;0;0;0;0;0;0;0
GASPARINI;Udinese;0;0;0;0;0;0;0;0
GEMELLO;Torino;1;6,5;6,5;0;0;0;0;0
HANDANOVIC;Inter;30;6,17;5,35;24;0;1;0;0
KRAPIKAS;Spezia;0;0;0;0;0;0;0;0
LEZZERINI;Venezia;6;6,17;4,5;9;0;2;0;0
MAENPAA;Venezia;9;5,78;4,28;13;0;1;0;0
MAIGNAN;Milan;25;6,22;5,48;19;0;1;0;0
MARCHETTI;Genoa;0;0;0;0;0;0;0;0
MARFELLA;Napoli;0;0;0;0;0;0;0;0
MERET;Napoli;4;6,12;5,62;2;0;0;0;0
MILINKOVIC-SAVIC V.;Torino;25;6,02;4,96;28;1;3;0;0
MIRANTE;Milan;0;0;0;0;0;0;0;0
MOLLA;Bologna;0;0;0;0;0;0;0;0
MONTIPO';Verona;28;6,02;4,54;41;0;1;0;0
MUSSO;Atalanta;26;6,12;4,9;30;0;1;1;0
NERI;Venezia;0;0;0;0;0;0;0;0
OSPINA;Napoli;27;6,26;5,46;21;0;1;0;0
PADELLI;Udinese;2;5,5;1,5;8;0;0;0;0
PANDUR;Verona;3;6,17;4,17;6;0;0;0;0
PEGOLO;Sassuolo;1;6;3;3;0;0;0;0
PERIN;Juventus;3;6,17;4,83;4;0;0;0;0
PIANA;Udinese;0;0;0;0;0;0;0;0
PINSOGLIO;Juventus;0;0;0;0;0;0;0;0
PLIZZARI;Milan;0;0;0;0;0;0;0;0
PROVEDEL;Spezia;24;6,25;4,75;35;0;2;0;0
RADU I.;Inter;0;0;0;0;0;0;0;0
RADUNOVIC;Cagliari;3;6,33;5,67;5;1;0;0;0
RAVAGLIA;Sampdoria;0;0;0;0;0;0;0;0
REINA;Lazio;15;5,97;4;29;0;3;0;0
ROMERO S.;Venezia;16;6;3,88;33;0;2;0;0
ROSATI;Fiorentina;0;0;0;0;0;0;0;0
ROSSI F.;Atalanta;1;6;5;1;0;0;0;0
RUI PATRICIO;Roma;31;6,16;5,11;35;1;1;0;0
RUSSO;Salernitana;0;0;0;0;0;0;0;0
SANTURRO;Udinese;0;0;0;0;0;0;0;0
SARR M.;Bologna;0;0;0;0;0;0;0;0
SATALINO;Sassuolo;0;0;0;0;0;0;0;0
SCUFFET;Udinese;0;0;0;0;0;0;0;0
SEMPER;Genoa;0;0;0;0;0;0;0;0
SEPE;Salernitana;8;6,19;4,19;16;0;0;0;0
SILVESTRI;Udinese;27;6,11;4,65;39;0;1;0;0
SIRIGU;Genoa;31;6,21;4,69;48;1;0;0;1
SKORUPSKI;Bologna;30;6,25;4,73;44;0;3;0;0
SPORTIELLO;Atalanta;4;6,25;5,5;3;0;0;0;0
STRAKOSHA;Lazio;16;6,09;5;17;0;1;0;0
SZCZESNY;Juventus;28;6,11;5,57;23;3;2;0;0
TATARUSANU;Milan;6;6;4,83;10;1;0;0;0
TERRACCIANO;Fiorentina;24;6,06;4,94;30;1;0;0;0
TURATI;Sassuolo;0;0;0;0;0;0;0;0
UJKANI;Empoli;0;0;0;0;0;0;0;0
VICARIO;Empoli;31;6,37;4,66;56;1;0;0;0
ZOET;Spezia;7;5,79;3,5;19;1;0;0;0
ZOVKO;Spezia;0;0;0;0;0;0;0;0
